Department,Location,Total_Assignments,Completed,Overdue,In_Progress,Not_Started,Compliance_Rate,Report_Date
Laboratory,Outpatient Center A,318,239,72,1,6,75.16,2026-08-13
Laboratory,Outpatient Center B,228,171,53,4,0,75.0,2026-08-13
Laboratory,South Hospital,271,199,67,3,2,73.43,2026-08-13
Laboratory,West Hospital,217,172,41,2,2,79.26,2026-08-13
Nursing,Cancer Center,159,128,26,1,4,80.5,2026-08-13
Nursing,Central Medical Center,159,129,29,0,1,81.13,2026-08-13
Nursing,Children's Hospital,207,154,49,1,3,74.4,2026-08-13
Nursing,North Hospital,194,150,39,1,4,77.32,2026-08-13
Nursing,Outpatient Center A,213,163,45,1,4,76.53,2026-08-13
Nursing,Outpatient Center B,252,193,55,3,1,76.59,2026-08-13
Nursing,South Hospital,158,118,33,5,2,74.68,2026-08-13
Nursing,West Hospital,275,216,52,3,4,78.55,2026-08-13
Patient Access,Cancer Center,220,154,56,3,7,70.0,2026-08-13
Patient Access,Central Medical Center,211,161,42,4,4,76.3,2026-08-13
Patient Access,Children's Hospital,198,153,39,2,4,77.27,2026-08-13
Patient Access,North Hospital,336,253,73,6,4,75.3,2026-08-13
Patient Access,Outpatient Center A,192,147,41,3,1,76.56,2026-08-13
Patient Access,Outpatient Center B,196,145,45,3,3,73.98,2026-08-13
Patient Access,South Hospital,201,147,47,3,4,73.13,2026-08-13
Patient Access,West Hospital,199,151,42,3,3,75.88,2026-08-13
Pharmacy,Cancer Center,211,162,47,1,1,76.78,2026-08-13
Pharmacy,Central Medical Center,288,225,54,3,6,78.12,2026-08-13
Pharmacy,Children's Hospital,280,218,58,2,2,77.86,2026-08-13
Pharmacy,North Hospital,242,179,56,3,4,73.97,2026-08-13
Pharmacy,Outpatient Center A,236,181,47,3,5,76.69,2026-08-13
Pharmacy,Outpatient Center B,279,214,57,2,6,76.7,2026-08-13
Pharmacy,South Hospital,247,176,67,3,1,71.26,2026-08-13
Pharmacy,West Hospital,245,190,51,3,1,77.55,2026-08-13
Radiology,Cancer Center,271,213,55,0,3,78.6,2026-08-13
Radiology,Central Medical Center,245,173,67,5,0,70.61,2026-08-13
Radiology,Children's Hospital,237,175,54,6,2,73.84,2026-08-13
Radiology,North Hospital,291,227,61,2,1,78.01,2026-08-13
Radiology,Outpatient Center A,242,183,50,0,9,75.62,2026-08-13
Radiology,Outpatient Center B,246,193,50,1,2,78.46,2026-08-13
Radiology,South Hospital,219,168,48,1,2,76.71,2026-08-13
Radiology,West Hospital,253,196,47,6,4,77.47,2026-08-13
Revenue Cycle,Cancer Center,323,243,76,2,2,75.23,2026-08-13
Revenue Cycle,Central Medical Center,278,201,69,4,4,72.3,2026-08-13
Revenue Cycle,Children's Hospital,376,289,72,8,7,76.86,2026-08-13
Revenue Cycle,North Hospital,302,230,64,4,4,76.16,2026-08-13
Revenue Cycle,Outpatient Center A,275,210,57,6,2,76.36,2026-08-13
Revenue Cycle,Outpatient Center B,275,211,57,4,3,76.73,2026-08-13
Revenue Cycle,South Hospital,238,176,53,4,5,73.95,2026-08-13
Revenue Cycle,West Hospital,284,213,66,1,4,75.0,2026-08-13
